Source,Target
Jndien@LOC,Carta de Francisco Javier S. J.@PER
Jndien@LOC,Laurentz Jnsel@PER
Jndien@LOC,Conrad Löw@PER
Jndien@LOC,China@LOC
Jndien@LOC,Jgnatium von Layola@PER
Jndien@LOC,Noua Zemla@PER
Jndien@LOC,Obij@LOC
Jndien@LOC,Francisci Xauier@PER
Jndien@LOC,Gantz@PER
Jndien@LOC,Jar@LOC
Jndien@LOC,Jnsel Bally@PER
Jndien@LOC,Hollandt@LOC
Jndien@LOC,Jesu Christi@PER
Jndien@LOC,Nägelein@PER
Carta de Francisco Javier S. J.@PER,Jgnatium von Layola@PER
Carta de Francisco Javier S. J.@PER,Francisci Xauier@PER
Carta de Francisco Javier S. J.@PER,Jesu Christi@PER
Horeb Sinay@PER,Terrae Sanctae@LOC
Horeb Sinay@PER,Felix Fabri@PER
Laurentz Jnsel@PER,Conrad Löw@PER
Laurentz Jnsel@PER,China@LOC
Laurentz Jnsel@PER,Noua Zemla@PER
Laurentz Jnsel@PER,Obij@LOC
Laurentz Jnsel@PER,Gantz@PER
Laurentz Jnsel@PER,Jar@LOC
Laurentz Jnsel@PER,Jnsel Bally@PER
Laurentz Jnsel@PER,Hollandt@LOC
Laurentz Jnsel@PER,Nägelein@PER
Moritzen@PER,Ioannis Benzonis von Meylandt@PER
Moritzen@PER,Spanien@LOC
Moritzen@PER,Dieterich@PER
Moritzen@PER,Hessen@LOC
Rath@PER,Keyser Ferdinandi@PER
Rath@PER,Mahomeths@PER
Rath@PER,Türckischen Hoff@LOC
Rath@PER,Carle Graff@PER
Rath@PER,Schmächlichem Endt@PER
Rath@PER,Königshofen@LOC
Rath@PER,Tauber@LOC
Rath@PER,Noth@PER
Rath@PER,Ottomans@LOC
Rath@PER,V. Ferdinandt@PER
Rath@PER,Policey Gerichtlichem Proceß@PER
Rath@PER,Gran Ritterlich@LOC
Rath@PER,Maximilian@PER
Künigklicher Maye@PER,Obernburg@LOC
Künigklicher Maye@PER,Benedicten Curipeschitz@PER
Teutsche Sprach@LOC,Rom@LOC
Teutsche Sprach@LOC,Portugal@LOC
Teutsche Sprach@LOC,Raiß@PER
Teutsche Sprach@LOC,Japon@PER
Keyser Ferdinandi@PER,Carle Graff@PER
Keyser Ferdinandi@PER,Gran Ritterlich@LOC
